
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:32 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jun 05 2026,SPXW260605C07250000,19.9,3,18.7,19.6,37,0.1214,0.1235,0.0006,45,7250.00,SPXW260605P07250000,0,0,413.1,420.2,0,0.121,-0.8767,0.0006,0
Fri Jun 05 2026,SPXW260605C07300000,14.88,2.58,13.4,14.1,95,0.1204,0.0944,0.0005,157,7300.00,SPXW260605P07300000,0,0,447.3,471.3,0,0.1162,-0.9058,0.0005,0
Fri Jun 05 2026,SPXW260605C07400000,6.86,0,7,7.6,0,0.1208,0.0555,0.0003,74,7400.00,SPXW260605P07400000,0,0,540,564,0,0.1131,-0.9448,0.0003,0
Fri Jun 05 2026,SPXW260605C07600000,2.68,0.13,2.45,2.8,2,0.1286,0.022,0.0001,3,7600.00,SPXW260605P07600000,0,0,733.9,757.9,0,0.1004,-0.9782,0.0001,0
Fri Jun 05 2026,SPXW260605C07800000,1.25,-0.075,1.05,1.45,108,0.1407,0.0101,0.0001,112,7800.00,SPXW260605P07800000,0,0,931.4,955.4,0,0,-0.9901,0.0001,0
Fri Jun 05 2026,SPXW260605C08000000,0.75,-0.075,0.5,0.9,2,0.1538,0.0053,0,2,8000.00,SPXW260605P08000000,0,0,1129.7,1153.7,0,0,-0.9949,0,0
Fri Jun 05 2026,SPXW260605C08200000,0,0,0.3,0.6,0,0.1676,0.0032,0,0,8200.00,SPXW260605P08200000,0,0,1328.2,1352.2,0,0,-0.997,0,0
Fri Jun 05 2026,SPXW260605C08400000,0,0,0.15,0.45,0,0.1805,0.0022,0,0,8400.00,SPXW260605P08400000,0,0,1526.9,1550.9,0,0,-0.998,0,0
Thu Jun 18 2026,SPX260618C00200000,6612,55.3501,6601.2,6612.7,27,2.5759,1,0,1917,200.00,SPX260618P00200000,0.05,0,0,0.05,0,2.2084,0,0,1895
Thu Jun 18 2026,SPX260618C00400000,6364.45,5.0999,6402.8,6414,2,2.0802,1,0,27,400.00,SPX260618P00400000,0.03,0,0,0.15,0,1.8835,0,0,10184
Thu Jun 18 2026,SPX260618C00600000,0,0,6204.2,6215.7,0,1.6901,1,0,0,600.00,SPX260618P00600000,0.05,0,0,0.2,0,1.6388,-0.0001,0,5203
